,LAD,Topics,broad_topic,comparative_adv,num_attendants,num_events,year
31,Cardiff,"Website Development (PHP, Drupal)",Programming,0,0,0,2015
32,Pembrokeshire,e-Commerce,Business,0,0,0,2012
33,Pembrokeshire,e-Commerce,Business,0,0,0,2013
34,Pembrokeshire,e-Commerce,Business,0,0,0,2014
35,Pembrokeshire,e-Commerce,Business,2.685684841624924,21,5,2015
36,Pembrokeshire,"Website Development (ruby, java)",Programming,0,0,0,2012
37,Pembrokeshire,"Website Development (ruby, java)",Programming,0,0,0,2013
38,Pembrokeshire,"Website Development (ruby, java)",Programming,0,0,0,2014
39,Pembrokeshire,"Website Development (ruby, java)",Programming,0.09633530730655636,21,5,2015
40,Cardiff,"Website Development (ruby, java)",Programming,0.03585252875253686,14,2,2012
41,Cardiff,"Website Development (ruby, java)",Programming,0.3349964421443048,185,12,2013
42,Cardiff,"Website Development (ruby, java)",Programming,0.6869418337313226,536,19,2014
43,Cardiff,"Website Development (ruby, java)",Programming,0.4440082964808935,453,29,2015
44,Swansea,"Website Development (ruby, java)",Programming,0,0,0,2012
45,Swansea,"Website Development (ruby, java)",Programming,0,0,0,2013
46,Swansea,"Website Development (ruby, java)",Programming,0.5908527700352896,247,8,2014
47,Swansea,"Website Development (ruby, java)",Programming,0.9601109792816322,511,18,2015
48,Gwynedd,"Website Development (ruby, java)",Programming,0,0,0,2012
49,Gwynedd,"Website Development (ruby, java)",Programming,0,0,0,2013
50,Gwynedd,"Website Development (ruby, java)",Programming,0,0,0,2014
51,Gwynedd,"Website Development (ruby, java)",Programming,0.17497473462961266,46,2,2015
52,Cardiff,Databases,Information Technology,0,0,0,2012
53,Cardiff,Databases,Information Technology,1.6048393357280557,210,25,2013
54,Cardiff,Databases,Information Technology,1.1752611967949405,215,26,2014
55,Cardiff,Databases,Information Technology,2.108886887389159,484,60,2015
56,Swansea,Databases,Information Technology,0,0,0,2012
57,Swansea,Databases,Information Technology,0,0,0,2013
58,Swansea,Databases,Information Technology,0.34689816444919264,34,23,2014
59,Swansea,Databases,Information Technology,0.07517234305776861,9,3,2015
60,Carmarthenshire,Mobile development,Programming,0,0,0,2012
61,Carmarthenshire,Mobile development,Programming,0,0,0,2013
62,Carmarthenshire,Mobile development,Programming,0,0,0,2014
63,Carmarthenshire,Mobile development,Programming,0.20606377050655847,25,16,2015
64,Cardiff,Mobile development,Programming,0,0,0,2012
65,Cardiff,Mobile development,Programming,0,0,0,2013
66,Cardiff,Mobile development,Programming,0.07326998740759888,19,2,2014
67,Cardiff,Mobile development,Programming,0.27709923791020835,106,12,2015
68,Gwynedd,Mobile development,Programming,0,0,0,2012
69,Gwynedd,Mobile development,Programming,0,0,0,2013
70,Gwynedd,Mobile development,Programming,0,0,0,2014
71,Gwynedd,Mobile development,Programming,0.466672195764786,46,2,2015
72,Cardiff,Design (UI/UX),Design,0.26205596318436924,14,2,2012
73,Cardiff,Design (UI/UX),Design,1.1890993497335438,169,8,2013
74,Cardiff,Design (UI/UX),Design,2.6476048960645864,523,15,2014
75,Cardiff,Design (UI/UX),Design,0.9184986867117141,325,12,2015
76,Swansea,Design (UI/UX),Design,0,0,0,2012
77,Swansea,Design (UI/UX),Design,0,0,0,2013
78,Swansea,Design (UI/UX),Design,2.258273482497674,239,7,2014
79,Swansea,Design (UI/UX),Design,2.6383462622381297,487,16,2015
80,Gwynedd,Design (UI/UX),Design,0,0,0,2012
81,Gwynedd,Design (UI/UX),Design,0,0,0,2013
82,Gwynedd,Design (UI/UX),Design,0,0,0,2014
83,Gwynedd,Design (UI/UX),Design,0.5045191310660143,46,2,2015
84,Pembrokeshire,Entrepreneurship,Business,0,0,0,2012
85,Pembrokeshire,Entrepreneurship,Business,0,0,0,2013
86,Pembrokeshire,Entrepreneurship,Business,0,0,0,2014
87,Pembrokeshire,Entrepreneurship,Business,0.1413010749058923,21,5,2015
88,Cardiff,Entrepreneurship,Business,0,0,0,2012
89,Cardiff,Entrepreneurship,Business,0.2157944787468004,78,6,2013
90,Cardiff,Entrepreneurship,Business,0.19708464825602512,88,5,2014
91,Cardiff,Entrepreneurship,Business,0.4514217808838809,314,18,2015
92,Cardiff,Programming,Programming,0,0,0,2012
93,Cardiff,Programming,Programming,1.2835172540335598,162,7,2013
94,Cardiff,Programming,Programming,1.5301111386231103,382,11,2014
95,Cardiff,Programming,Programming,0.4998637109472971,195,10,2015
96,Gwynedd,Programming,Programming,0,0,0,2012
97,Gwynedd,Programming,Programming,0,0,0,2013
98,Gwynedd,Programming,Programming,0,0,0,2014
99,Gwynedd,Programming,Programming,0.4576141638289896,46,2,2015
100,Cardiff,Healthcare - AI,Information Technology,0,0,0,2012
101,Cardiff,Healthcare - AI,Information Technology,0,0,0,2013
102,Cardiff,Healthcare - AI,Information Technology,0,0,0,2014
103,Cardiff,Healthcare - AI,Information Technology,0.09337405608280797,6,2,2015
104,Cardiff,Front-end development,Programming,0.16480949840166587,14,2,2012
105,Cardiff,Front-end development,Programming,0.049691294816883766,7,1,2013
106,Cardiff,Front-end development,Programming,0.07381565579746494,15,1,2014
107,Cardiff,Front-end development,Programming,0.0914384531104782,30,4,2015
108,Swansea,Front-end development,Programming,0,0,0,2012
109,Swansea,Front-end development,Programming,0,0,0,2013
110,Swansea,Front-end development,Programming,0.0734808815208646,8,1,2014
111,Swansea,Front-end development,Programming,0.14022534272404996,24,2,2015
112,Gwynedd,Front-end development,Programming,0,0,0,2012
113,Gwynedd,Front-end development,Programming,0,0,0,2013
114,Gwynedd,Front-end development,Programming,0,0,0,2014
115,Gwynedd,Front-end development,Programming,0.5441142200288007,46,2,2015
116,Pembrokeshire,Digital Marketing,Business,0,0,0,2012
117,Pembrokeshire,Digital Marketing,Business,0,0,0,2013
118,Pembrokeshire,Digital Marketing,Business,0,0,0,2014
119,Pembrokeshire,Digital Marketing,Business,0.2483444869419469,21,5,2015
120,Cardiff,Digital Marketing,Business,0,0,0,2012
121,Cardiff,Digital Marketing,Business,0,0,0,2013
122,Cardiff,Digital Marketing,Business,0.4571427059874008,122,2,2014
123,Cardiff,Digital Marketing,Business,0,0,0,2015
124,Pembrokeshire,Wordpress,Wordpress,0,0,0,2012
125,Pembrokeshire,Wordpress,Wordpress,0,0,0,2013
126,Pembrokeshire,Wordpress,Wordpress,0,0,0,2014
127,Pembrokeshire,Wordpress,Wordpress,3.4404676162509635,21,5,2015
