,year,LAD,comparative_adv,num_attendants,num_events,Topics,broad_topic
89,2013,Cardiff,0.2157944787468004,78,6,Entrepreneurship,Business
90,2014,Cardiff,0.19708464825602512,88,5,Entrepreneurship,Business
91,2015,Cardiff,0.4514217808838809,314,18,Entrepreneurship,Business
92,2012,Cardiff,0.0,0,0,Programming,Programming
93,2013,Cardiff,1.2835172540335598,162,7,Programming,Programming
94,2014,Cardiff,1.5301111386231103,382,11,Programming,Programming
95,2015,Cardiff,0.4998637109472971,195,10,Programming,Programming
96,2012,Gwynedd,0.0,0,0,Programming,Programming
97,2013,Gwynedd,0.0,0,0,Programming,Programming
98,2014,Gwynedd,0.0,0,0,Programming,Programming
99,2015,Gwynedd,0.4576141638289896,46,2,Programming,Programming
100,2012,Cardiff,0.0,0,0,Healthcare - AI,Information Technology
101,2013,Cardiff,0.0,0,0,Healthcare - AI,Information Technology
102,2014,Cardiff,0.0,0,0,Healthcare - AI,Information Technology
103,2015,Cardiff,0.09337405608280797,6,2,Healthcare - AI,Information Technology
104,2012,Cardiff,0.16480949840166587,14,2,Front-end development,Programming
105,2013,Cardiff,0.049691294816883766,7,1,Front-end development,Programming
106,2014,Cardiff,0.07381565579746494,15,1,Front-end development,Programming
107,2015,Cardiff,0.0914384531104782,30,4,Front-end development,Programming
108,2012,Swansea,0.0,0,0,Front-end development,Programming
109,2013,Swansea,0.0,0,0,Front-end development,Programming
110,2014,Swansea,0.0734808815208646,8,1,Front-end development,Programming
111,2015,Swansea,0.14022534272404996,24,2,Front-end development,Programming
112,2012,Gwynedd,0.0,0,0,Front-end development,Programming
113,2013,Gwynedd,0.0,0,0,Front-end development,Programming
114,2014,Gwynedd,0.0,0,0,Front-end development,Programming
115,2015,Gwynedd,0.5441142200288007,46,2,Front-end development,Programming
116,2012,Pembrokeshire,0.0,0,0,Digital Marketing,Business
117,2013,Pembrokeshire,0.0,0,0,Digital Marketing,Business
118,2014,Pembrokeshire,0.0,0,0,Digital Marketing,Business
119,2015,Pembrokeshire,0.2483444869419469,21,5,Digital Marketing,Business
120,2012,Cardiff,0.0,0,0,Digital Marketing,Business
121,2013,Cardiff,0.0,0,0,Digital Marketing,Business
122,2014,Cardiff,0.4571427059874008,122,2,Digital Marketing,Business
123,2015,Cardiff,0.0,0,0,Digital Marketing,Business
124,2012,Pembrokeshire,0.0,0,0,Wordpress,Wordpress
125,2013,Pembrokeshire,0.0,0,0,Wordpress,Wordpress
126,2014,Pembrokeshire,0.0,0,0,Wordpress,Wordpress
127,2015,Pembrokeshire,3.4404676162509635,21,5,Wordpress,Wordpress
