,source_node,target_node,Unnamed: 0_x,urlkey_x,id_x,Source,merge_key_x,Unnamed: 0_y,urlkey_y,id_y,Target,merge_key_y
0,21441,104717,67,mobile-development,21441,Mobile Development,21441,2065,user-interface-design,104717,User Interface Design,104717
1,1215292,104717,1965,windows-phone-8-development,1215292,Windows Phone 8 Development,1215292,2065,user-interface-design,104717,User Interface Design,104717
2,133497,104717,1447,windows-phone-developers,133497,Windows Phone Developers,133497,2065,user-interface-design,104717,User Interface Design,104717
3,497332,104717,5618,mobile-design-and-development,497332,Mobile Design and Development,497332,2065,user-interface-design,104717,User Interface Design,104717
4,827,104717,57,dotnet,827,.NET,827,2065,user-interface-design,104717,User Interface Design,104717
5,2260,104717,261,csharp,2260,C#,2260,2065,user-interface-design,104717,User Interface Design,104717
6,16216,104717,41,mobile-technology,16216,Mobile Technology,16216,2065,user-interface-design,104717,User Interface Design,104717
7,51642,104717,1956,windows-phone,51642,Windows Phone,51642,2065,user-interface-design,104717,User Interface Design,104717
8,752732,104717,1963,windows-8,752732,Windows 8,752732,2065,user-interface-design,104717,User Interface Design,104717
9,85534,104717,5612,mobile-design,85534,Mobile Design,85534,2065,user-interface-design,104717,User Interface Design,104717
10,104717,104717,2065,user-interface-design,104717,User Interface Design,104717,2065,user-interface-design,104717,User Interface Design,104717
11,450862,104717,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862,2065,user-interface-design,104717,User Interface Design,104717
12,3833,104717,10,softwaredev,3833,Software Development,3833,2065,user-interface-design,104717,User Interface Design,104717
13,438992,104717,1960,windows-8-development,438992,Windows 8 Development,438992,2065,user-interface-design,104717,User Interface Design,104717
14,99537,104717,2413,microsoft-technology,99537,Microsoft Technology,99537,2065,user-interface-design,104717,User Interface Design,104717
15,21441,21441,67,mobile-development,21441,Mobile Development,21441,67,mobile-development,21441,Mobile Development,21441
16,1215292,21441,1965,windows-phone-8-development,1215292,Windows Phone 8 Development,1215292,67,mobile-development,21441,Mobile Development,21441
17,133497,21441,1447,windows-phone-developers,133497,Windows Phone Developers,133497,67,mobile-development,21441,Mobile Development,21441
18,497332,21441,5618,mobile-design-and-development,497332,Mobile Design and Development,497332,67,mobile-development,21441,Mobile Development,21441
19,827,21441,57,dotnet,827,.NET,827,67,mobile-development,21441,Mobile Development,21441
20,2260,21441,261,csharp,2260,C#,2260,67,mobile-development,21441,Mobile Development,21441
21,16216,21441,41,mobile-technology,16216,Mobile Technology,16216,67,mobile-development,21441,Mobile Development,21441
22,51642,21441,1956,windows-phone,51642,Windows Phone,51642,67,mobile-development,21441,Mobile Development,21441
23,752732,21441,1963,windows-8,752732,Windows 8,752732,67,mobile-development,21441,Mobile Development,21441
24,85534,21441,5612,mobile-design,85534,Mobile Design,85534,67,mobile-development,21441,Mobile Development,21441
25,104717,21441,2065,user-interface-design,104717,User Interface Design,104717,67,mobile-development,21441,Mobile Development,21441
26,450862,21441,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862,67,mobile-development,21441,Mobile Development,21441
27,3833,21441,10,softwaredev,3833,Software Development,3833,67,mobile-development,21441,Mobile Development,21441
28,438992,21441,1960,windows-8-development,438992,Windows 8 Development,438992,67,mobile-development,21441,Mobile Development,21441
29,99537,21441,2413,microsoft-technology,99537,Microsoft Technology,99537,67,mobile-development,21441,Mobile Development,21441
30,21441,450862,67,mobile-development,21441,Mobile Development,21441,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
31,1215292,450862,1965,windows-phone-8-development,1215292,Windows Phone 8 Development,1215292,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
32,133497,450862,1447,windows-phone-developers,133497,Windows Phone Developers,133497,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
33,497332,450862,5618,mobile-design-and-development,497332,Mobile Design and Development,497332,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
34,827,450862,57,dotnet,827,.NET,827,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
35,2260,450862,261,csharp,2260,C#,2260,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
36,16216,450862,41,mobile-technology,16216,Mobile Technology,16216,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
37,51642,450862,1956,windows-phone,51642,Windows Phone,51642,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
38,752732,450862,1963,windows-8,752732,Windows 8,752732,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
39,85534,450862,5612,mobile-design,85534,Mobile Design,85534,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
40,104717,450862,2065,user-interface-design,104717,User Interface Design,104717,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862
