organisation_x,organisation_y,collab_n,similarity_color_rgba
Celsa Steel UK,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire Ltd,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merlin Circuits,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Warm Wales - Cymru Gynnes CBC,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Purolite International Ltd,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atkins Global,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Protherics UK Limted,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gyrus Medical Ltd,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Ltd,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gower Optimal Algorithms Ltd,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Electroceramics,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Hyder Consulting,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Vale Europe Ltd,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Flexicare Medical Limited UK,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Laser Micromachining Limited,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Advanced Materials and Technology,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BBInternational (British Biocell),University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Limited,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merck Chemicals Ltd UK,University of Glamorgan,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Sharp Manufacturing Co UK,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Ty Mawr Lime Ltd,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morvus Technlogy Ltd,University of Glamorgan,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff University,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Swansea University,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Government,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
G-24i,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morriston Hospital,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BIPVCo,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cogent Power Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Swansea NHS Trust,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sony United Kingdom Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Iqe (Europe) Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
HAEMAIR LTD,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Council,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPTS Technologies,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Science Made Simple,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haemometrics Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Tidal Energy Limited,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Fusion,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Neath Port Talbot County,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Abertawe Bro Morgannwg NHS Trust,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Boots Centre for Innovation BCI,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Mabey Bridge Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Bangor University,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Power Units M & E Engineering Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
IQE Silicon Compounds Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
International Rectifier,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dow Corning Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Wiltan Limited,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
INEXUS,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Aberystwyth University,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Kennametal Sintec Keramik UK Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
S&C Electric Europe Limited,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of Glamorgan,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire International Ltd,Nuaire International Ltd,1,"(1, 0, 0, 0.9)"
OpTIC Glyndwr Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
QMC Instruments Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Qioptiq Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Utility Partnership Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Automotive Forum,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Syfer Technology Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Alun Griffiths (Contractors) Limited,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Scanwel Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Capital Region Board,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Biocatalysts Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
A Schulman Inc Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Natural Resources Wales,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ABM University NHS Trust,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPECIFIC (Innovation and Knowledge Ctr),Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Surface Technology Systems Plc,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff & Vale University Health Board,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haydale Limited,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Higher Education Funding Council - Wales,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dwr Cymru Welsh Water,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University Hospital of Wales,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Local Government Association,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SmartKem Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Corus Strip Products UK,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Eurostep Limited,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sandvik Materials Technology,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Plasma & Thermal Coatings Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Glyndwr University,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Centre for Printing and Coating,Nuaire International Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Yuasa Battery UK Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Office for National Statistics,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morganite Electrical Carbon Ltd.,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Pilkington Special Glass,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
MTG Research Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Seren Photonics Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atraverda Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ICP Solar,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of South Wales,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sustainable Energy Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Silage Solutions Pty Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Zarlink Semiconductor,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Palmer environmental,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ConvaTec Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Deregallera Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Devon County Council,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dyesol UK Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Control Techniques Drives Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Celsa Steel UK,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire Ltd,Nuaire International Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Merlin Circuits,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Warm Wales - Cymru Gynnes CBC,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Purolite International Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atkins Global,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Protherics UK Limted,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gyrus Medical Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gower Optimal Algorithms Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Electroceramics,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Hyder Consulting,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Vale Europe Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Flexicare Medical Limited UK,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Laser Micromachining Limited,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Advanced Materials and Technology,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BBInternational (British Biocell),Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Limited,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merck Chemicals Ltd UK,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sharp Manufacturing Co UK,Nuaire International Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Ty Mawr Lime Ltd,Nuaire International Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Morvus Technlogy Ltd,Nuaire International Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff University,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Swansea University,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Government,OpTIC Glyndwr Ltd,1,"(1, 0, 0, 0.9)"
G-24i,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morriston Hospital,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BIPVCo,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cogent Power Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Swansea NHS Trust,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sony United Kingdom Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Iqe (Europe) Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
HAEMAIR LTD,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Council,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPTS Technologies,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Science Made Simple,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haemometrics Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Tidal Energy Limited,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Fusion,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Neath Port Talbot County,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Abertawe Bro Morgannwg NHS Trust,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Boots Centre for Innovation BCI,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Mabey Bridge Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Bangor University,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Power Units M & E Engineering Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
IQE Silicon Compounds Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
International Rectifier,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dow Corning Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Wiltan Limited,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
INEXUS,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Aberystwyth University,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Kennametal Sintec Keramik UK Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
S&C Electric Europe Limited,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of Glamorgan,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire International Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
OpTIC Glyndwr Ltd,OpTIC Glyndwr Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
QMC Instruments Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Qioptiq Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Utility Partnership Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Automotive Forum,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Syfer Technology Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Alun Griffiths (Contractors) Limited,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Scanwel Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Capital Region Board,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Biocatalysts Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
A Schulman Inc Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Natural Resources Wales,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ABM University NHS Trust,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPECIFIC (Innovation and Knowledge Ctr),OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Surface Technology Systems Plc,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff & Vale University Health Board,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haydale Limited,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Higher Education Funding Council - Wales,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dwr Cymru Welsh Water,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University Hospital of Wales,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Local Government Association,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SmartKem Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Corus Strip Products UK,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Eurostep Limited,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sandvik Materials Technology,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Plasma & Thermal Coatings Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Glyndwr University,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Centre for Printing and Coating,OpTIC Glyndwr Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Yuasa Battery UK Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Office for National Statistics,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morganite Electrical Carbon Ltd.,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Pilkington Special Glass,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
MTG Research Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Seren Photonics Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atraverda Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ICP Solar,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of South Wales,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sustainable Energy Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Silage Solutions Pty Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Zarlink Semiconductor,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Palmer environmental,OpTIC Glyndwr Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
ConvaTec Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Deregallera Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Devon County Council,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dyesol UK Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Control Techniques Drives Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Celsa Steel UK,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merlin Circuits,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Warm Wales - Cymru Gynnes CBC,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Purolite International Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atkins Global,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Protherics UK Limted,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gyrus Medical Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gower Optimal Algorithms Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Electroceramics,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Hyder Consulting,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Vale Europe Ltd,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Flexicare Medical Limited UK,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Laser Micromachining Limited,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Advanced Materials and Technology,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BBInternational (British Biocell),OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Limited,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merck Chemicals Ltd UK,OpTIC Glyndwr Ltd,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sharp Manufacturing Co UK,OpTIC Glyndwr Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Ty Mawr Lime Ltd,OpTIC Glyndwr Ltd,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
