discipline,research_topic,value_pounds_Non_Welsh,value_pounds_Welsh,number_of_projects_Non_Welsh,number_of_projects_Welsh,number_of_projects_Welsh_proportion
Social Sciences,decision_making_may_choice_make,11186831.0,420634.0,50.0,2.0,0.038461538461538464
Social Sciences,elite_managerial_holder_variable_study,859979.0,3144000.0,9.0,2.0,0.18181818181818182
Social Sciences,em_lifestyle_exercise_cognitive_diet,656755.0,0.0,8.0,0.0,0.0
Social Sciences,environmental_rural_Environmental planning_land_water,18673453.0,137914.0,57.0,2.0,0.03389830508474576
Social Sciences,ethnic_minority_per_cent_group,2087006.0,0.0,11.0,0.0,0.0
Social Sciences,european_eu_uk_policy_europe,10707609.0,446714.0,81.0,3.0,0.03571428571428571
Social Sciences,face_Psychology_human_different_research,48481686.0,3236492.0,196.0,14.0,0.06666666666666667
Social Sciences,fair_capability_convention_criticism_motif,689207.0,151218.0,5.0,2.0,0.2857142857142857
Social Sciences,food_design_environment_production_project,17293546.0,254343.0,47.0,2.0,0.04081632653061224
Social Sciences,health_care_patient_mental_treatment,24214567.0,953040.0,147.0,7.0,0.045454545454545456
Social Sciences,household_economic_Economics_inequality_social,30201003.0,854990.0,172.0,8.0,0.044444444444444446
Social Sciences,human_game_theory_strategic_simulation,1191754.0,0.0,9.0,0.0,0.0
Social Sciences,image_negative_island_carers_distraction,304608.0,0.0,3.0,0.0,0.0
Social Sciences,industry_financial_market_global_economic,144305188.0,2357653.0,194.0,8.0,0.039603960396039604
Social Sciences,integration_monitoring_involvement_temporal_control,290632.0,0.0,2.0,0.0,0.0
Social Sciences,intervention_project_impact_use_study,11448167.0,381208.0,48.0,1.0,0.02040816326530612
Social Sciences,knowledge_skill_transfer_placement_generation,1417351.0,576372.0,12.0,8.0,0.4
Social Sciences,labour_economy_trade_market_Economics,29823403.0,0.0,107.0,0.0,0.0
Social Sciences,language_word_Linguistics_Linguistics (General)_child,79201873.0,12034489.0,113.0,12.0,0.096
Social Sciences,law_forced_music_history_exploitation,1040487.0,0.0,9.0,0.0,0.0
Social Sciences,law_moral_philosophy_ethic_question,4113908.0,349550.0,50.0,5.0,0.09090909090909091
Social Sciences,learning_teaching_Education_teacher_curriculum,26780695.0,667910.0,85.0,6.0,0.06593406593406594
Social Sciences,local_community_project_authority_knowledge,33367122.0,1729761.0,72.0,27.0,0.2727272727272727
Social Sciences,loss_measure_implicit_grammar_deaf,415422.0,0.0,3.0,0.0,0.0
Social Sciences,memory_brain_Psychology_infant_event,14691183.0,970754.0,69.0,5.0,0.06756756756756757
Social Sciences,method_victim_prison_quantitative_forecasting,4190534.0,2417109.0,20.0,4.0,0.16666666666666666
Social Sciences,migrant_worker_migration_workplace_employment,312928.0,0.0,2.0,0.0,0.0
Social Sciences,model_Economics_market_financial_economic,4583402.0,475585.0,36.0,3.0,0.07692307692307693
Social Sciences,neighbourhood_residential_segregation_extreme_agent,377415.0,0.0,4.0,0.0,0.0
Social Sciences,older_people_age_life_ageing,36167373.0,1351206.0,120.0,6.0,0.047619047619047616
Social Sciences,operation_executive_side_journey_asymmetry,301514.0,0.0,3.0,0.0,0.0
Social Sciences,organisation_corporate_study_leadership_social,14060686.0,403654.0,65.0,3.0,0.04411764705882353
Social Sciences,past_justice_un_future_event,994759.0,15281.0,4.0,1.0,0.2
Social Sciences,people_Psychology_social_behaviour_individual,51951233.0,2545105.0,236.0,16.0,0.06349206349206349
Social Sciences,people_Social Policy_care_Sociology_policy,59810609.0,6630772.0,175.0,16.0,0.08376963350785341
Social Sciences,people_research_young_project_life,42891286.0,647141.0,168.0,9.0,0.05084745762711865
Social Sciences,policy_evidence_research_government_uk,61122543.0,10257991.0,311.0,31.0,0.09064327485380116
Social Sciences,political_party_medium_election_survey,24091040.0,571026.0,112.0,6.0,0.05084745762711865
Social Sciences,political_war_Pol. sci. & internat. studies_Political Science_military,18062791.0,110574.0,66.0,1.0,0.014925373134328358
Social Sciences,poverty_poor_country_low_policy,8903837.0,117390.0,34.0,1.0,0.02857142857142857
Social Sciences,preference_internal_finance_small_religious,846017.0,0.0,14.0,0.0,0.0
Social Sciences,problem_sex_identification_item_solving,712875.0,0.0,5.0,0.0,0.0
Social Sciences,professional_sexual_career_occupational_identity,3391547.0,0.0,14.0,0.0,0.0
Social Sciences,public_medical_case_practice_professional,8016152.0,0.0,69.0,0.0,0.0
Social Sciences,public_policy_level_governance_role,13651509.0,281123.0,95.0,2.0,0.020618556701030927
Social Sciences,quot_intellectual_patent_auction_property,448435.0,0.0,3.0,0.0,0.0
Social Sciences,reading_task_Psychology_visual_processing,13096891.0,844743.0,93.0,4.0,0.041237113402061855
Social Sciences,reform_regional_network_anti_government,2194631.0,0.0,13.0,0.0,0.0
Social Sciences,research_religious_citizenship_Sociology_political,25510284.0,604411.0,194.0,6.0,0.03
Social Sciences,research_resilience_country_policy_region,26168422.0,685856.0,88.0,4.0,0.043478260869565216
Social Sciences,research_social_centre_policy_service,462585189.0,211845199.0,338.0,33.0,0.0889487870619946
Social Sciences,research_university_project_international_development,44228010.0,9051342.0,283.0,38.0,0.11838006230529595
Social Sciences,research_use_project_information_effect,9285014.0,552129.0,72.0,3.0,0.04
Social Sciences,retail_street_video_cultural_retailer,1073925.0,0.0,13.0,0.0,0.0
Social Sciences,right_legal_text_human_law,1220310.0,0.0,20.0,0.0,0.0
Social Sciences,right_state_law_international_civil,15584364.0,6836664.0,87.0,3.0,0.03333333333333333
Social Sciences,risk_rate_tax_interest_Economics,12441336.0,78298.0,57.0,1.0,0.017241379310344827
Social Sciences,route_kong_hong_left_ad,254925.0,0.0,3.0,0.0,0.0
Social Sciences,school_education_Education_student_educational,15195558.0,309202.0,88.0,3.0,0.03296703296703297
Social Sciences,scotland_wale_criminal_scottish_justice,1104692.0,231336.0,15.0,7.0,0.3181818181818182
Social Sciences,security_conflict_project_international_state,30269493.0,1055258.0,162.0,7.0,0.04142011834319527
Social Sciences,sentence_regime_project_representation_nuclear,2455011.0,0.0,16.0,0.0,0.0
Social Sciences,service_infrastructure_social_tool_e,38789790.0,377532.0,44.0,4.0,0.08333333333333333
Social Sciences,social_identity_cultural_research_Social Anthropology,35960068.0,894235.0,253.0,9.0,0.03435114503816794
Social Sciences,social_project_research_science_resource,67964645.0,272392232.0,214.0,93.0,0.30293159609120524
Social Sciences,spatial_location_high_pattern_trajectory,3693897.0,0.0,13.0,0.0,0.0
Social Sciences,speech_dispute_variation_sign_communication,1118024.0,0.0,7.0,0.0,0.0
Social Sciences,strong_uk_ac_rel_nofollow,30167365.0,228374.0,33.0,1.0,0.029411764705882353
Social Sciences,study_data_life_longitudinal_cohort,190958731.0,9904127.0,199.0,10.0,0.04784688995215311
Social Sciences,sustainable_transport_entrepreneurship_training_development,1254844.0,0.0,10.0,0.0,0.0
Social Sciences,technology_mobile_new_use_user,6308996.0,3050578.0,30.0,6.0,0.16666666666666666
Social Sciences,time_abstract_information_available_detail,19959584.0,1528980.0,69.0,5.0,0.06756756756756757
Social Sciences,trial_black_search_press_humanitarian,600294.0,197731.0,3.0,1.0,0.25
Social Sciences,trust_company_Economics_benefit_aim,2301866.0,80654.0,25.0,1.0,0.038461538461538464
Social Sciences,urban_city_e_g_system,11554554.0,428098.0,48.0,2.0,0.04
Social Sciences,violence_conflict_program_kenya_farming,2621926.0,0.0,14.0,0.0,0.0
Social Sciences,vulnerability_adaptation_charity_road_driver,623700.0,0.0,3.0,0.0,0.0
Social Sciences,woman_gender_men_female_male,1295390.0,0.0,18.0,0.0,0.0
