year,LAD,comparative_adv,num_attendants,num_events,Topics
2014,Gwynedd,0,0,0,Front-end development
2015,Gwynedd,0.5441142200288007,46,2,Front-end development
2012,Pembrokeshire,0,0,0,Digital Marketing
2013,Pembrokeshire,0,0,0,Digital Marketing
2014,Pembrokeshire,0,0,0,Digital Marketing
2015,Pembrokeshire,0.2483444869419469,21,5,Digital Marketing
2012,Cardiff,0,0,0,Digital Marketing
2013,Cardiff,0,0,0,Digital Marketing
2014,Cardiff,0.4571427059874008,122,2,Digital Marketing
2015,Cardiff,0,0,0,Digital Marketing
2012,Pembrokeshire,0,0,0,Wordpress
2013,Pembrokeshire,0,0,0,Wordpress
2014,Pembrokeshire,0,0,0,Wordpress
2015,Pembrokeshire,3.4404676162509635,21,5,Wordpress
