,Meetup Tag,2013,2013_2014,2013_2014_2015,2013_2014_2015_2016
147,Dining Out,,,0.0,0.0
148,Starting a Business,,,0.0,0.0
149,QA Tools and Practices,,,0.0,0.0
150,Functional and Regression Testing,,,0.0,0.0
151,Internet Technology Professionals & Startups,,,0.0,0.0
152,WordPress Small Business Web Sites,,,0.0,0.0
153,Django,,,0.0,0.0
154,Agile Testing,,,0.0,0.0
155,XAML,,,0.0,0.0
156,Wordpress Customization,,,0.0,0.0
157,Supper Clubs,,,0.0,0.0
158,Startup Businesses,,,0.0,0.001382089693152837
159,Blogging,,,0.0,0.0
160,Civic Hacking,,,0.0,0.0
161,Dancing,,,0.0,0.0
162,Entrepreneurship,,,0.03570091201021101,0.035505716580523455
163,ASP.NET MVC,,,0.0,0.0
164,Arduino,,,0.0,0.0
165,Technology Startups,,,0.0033282171597815795,0.004980453495204313
166,Windows Azure Platform,,,0.0,0.0
167,Civic Engagement & Technology,,,0.0,0.0
168,Cultural Activities,,,0.0,0.0
169,Open source python,,,0.0,0.0
170,Python,,,0.0,0.0
171,Live Music,,,0.0,0.0
172,ASP.NET,,,0.0007322054983624353,0.0007167502995621474
173,Photography,,,0.0,0.0
174,Hacking,,,0.0,0.0
175,Behaviour Driven Testing,,,0.0,0.0
176,.net development,,,0.0,0.0
177,E-Commerce - Internet Marketing,,,0.0,0.0
178,Wordpress Plugins,,,0.0,0.0
179,Software Architecture,,,0.0,0.0
180,Fun Times,,,0.0,0.0
181,Wordpress Themes,,,0.0,0.0
182,Data Science using Python,,,0.0,0.0
183,Web and Technology Startups,,,0.0,0.0
184,Professional Networking,,,0.0,0.0
185,Education & Technology,,,0.002600682051291981,0.002503843917013888
186,Testing Tools,,,0.0,0.0
187,Live theatre & musical theatre,,,0.0,0.0
188,Leadership,,,,0.0
189,Business Strategy,,,,0.0
