,Topics,Aberdeen,Ashford,Babraham,Bangor,Barnsley,Basildon,Basingstoke,Bath,Beaconsfield,Bedford,Beggarwood,Belfast,Bilston,Bingham,Birmingham,Bournemouth,Bradford,Brighton,Brighton Marina Village,Bristol,Brunswick Business Park,Burton-on-Trent,Buxton,Caister-on-Sea,Cambourne Business Park,Cambridge,Canterbury,Cardiff,Chafford Hundred,Chalfont St Peter,Chelmsford,Cheltenham,Chester,Chesterfield,Chippenham,Colchester,Coventry,Croydon,Cwm,Dartford,Denham,Derby,Dorking,Dundee,Durham,Edgbaston,Edinburgh,Egham,Enfield,Epsom,Exeter,Farnborough,Folkestone,Forest Row,Frome,Glasgow,Gloucester,Godalming,Greater London,Greater Manchester,Grimsby,Guildford,Harrogate,Hastings,Haywards Heath,Headington,Henley-on-Thames,Hereford,Hersden,Hertford,High Wycombe,Hitchin,Horsham,Hove,Huddersfield,Hull,Ilford,Inverness,Ipswich,Isleworth,Kennington,Keswick,Kettering,Lancaster,Leamington Spa,Leeds,Leicester,Leigh,Leigh-on-Sea,Lincoln,Liverpool,Llansadwrn,London,Long Eaton,Lower Bullingham,Luton,Maidstone,Manchester,Marlow,Middlesbrough,Milton Keynes,Newbury,Newcastle Upon Tyne,Northampton,Norwich,Nottingham,Nursling,Oldham,Oswestry,Oxford,Peterborough,Plymouth,Poole,Poplar,Preston,Pride Park,Reading,Reigate,Richmond,Roch,Salford,Sevenoaks,Shaftesbury,Sheffield,Shrewsbury,Slough,Southampton,Southend-on-Sea,Southsea,St Albans,St Helier,St Peter Port,Stafford,Stevenage,Stroud,Surbiton,Sutton Coldfield,Swansea,Swindon,Taunton,Temple Meads,Truro,Tunbridge Wells,Twickenham,Warrington,Warwick,Waterbeach,Watford,Wembley,West Jesmond,Winchester,Woking,Woodford Green,Worcester,York
0,Data Science,0.0,0.0,0.5560601219174648,0.0,0.0,0.0,0.0,0.4925103936983259,0.0,0.0,0.0,0.05560601219174647,0.0,0.05560601219174647,0.5962200196115038,0.0,0.0,0.8711608576706947,0.0,0.5619217243422356,0.0,0.0,0.0,0.0,0.0,0.6763549896979001,0.0,0.5022193799540277,0.0,0.0,0.2733962266094202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097217784243426,0.0,0.05560601219174647,0.43796354364356505,0.0,0.0,0.05560601219174647,0.6919859294972895,0.0,0.0,0.0,0.0,0.12974736178074175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05560601219174647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05560601219174647,0.0,0.0,0.0,0.32436840445185444,0.0,0.0,0.0,0.15755036787661506,0.0,10.0,0.0,0.0,0.0,0.0,0.8328030066680546,0.0,0.0,0.05560601219174647,0.05560601219174647,0.05560601219174647,0.0,0.0,0.05560601219174647,0.0,0.0,0.0,0.5869523509128795,0.0,0.0,0.0,0.0,0.0,0.0,0.4294019830362645,0.05560601219174647,0.0,0.0,0.0,0.0,0.0,0.3058330670546056,0.0,0.0,0.0,0.0,0.0,0.05560601219174647,0.33981451894956183,0.0,0.0,0.0,0.0,0.0,0.0,0.08300607617028821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05560601219174647,0.05560601219174647,0.0
1,Data cloud,0.0,0.0,0.0,0.0,0.0,0.0,0.26127308497395485,0.0,0.0,0.0,0.0,0.9726645969523592,0.0,0.0,0.2639391368614442,0.0,0.0,0.08797971228714807,0.0,1.3372916267646506,0.27860242224263554,0.0,0.0,0.0,0.0,0.6745111275348019,0.0,0.6696233657410714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1906227099554875,0.0,0.08797971228714807,0.0,0.0,0.08797971228714807,0.0,0.0,0.0,0.08797971228714807,0.0,1.4272264437692912,0.0,0.13685733022445254,0.08797971228714807,0.0,0.0,0.0,0.0,0.0,0.17595942457429614,0.0,0.0,0.0,0.0,0.0,0.0,0.4252352760545491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6451845567724193,0.0,0.0,0.0,0.5352099164134841,0.08797971228714807,0.0,0.0,0.0,0.0,0.4081281097764925,0.08797971228714807,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.3977043625351593,0.0,1.6716145334558137,0.08797971228714807,0.0,0.6647356039473411,0.08797971228714807,0.0,0.4692251321981231,0.0,0.0,0.0,0.2639391368614442,0.0,0.0,0.0,0.0,0.0,0.0,0.3519188491485923,0.0,0.0,0.0,0.6891744129159932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08797971228714807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17595942457429614,0.0,0.0,0.0,0.08797971228714807,0.0,0.0,0.0
2,Data management,0.0,0.0,1.59718228662289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15971822866228902,1.070703681032382,0.0,0.0,1.5084499373660634,0.0,0.603379974946425,0.0,0.0,0.0,0.0,0.0,2.300763727422391,0.0,1.6504216961769862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15971822866228902,0.15971822866228902,0.0,0.0,0.0,0.31943645732457804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15971822866228902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958309371973734,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0414959494020095,0.0,0.0,0.15971822866228902,0.0,0.15971822866228902,0.31943645732457804,0.0,0.15971822866228902,0.0,0.0,0.0,1.0357485131433286,0.0,0.0,0.0,0.0,0.0,0.0,0.4614082161355016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4081688065814052,0.15971822866228902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518305528655413,0.0,0.0,0.0,0.0,0.15971822866228902,0.0,0.0,0.15971822866228902,0.0,0.0
3,Digital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09473522001463017,0.0,0.09473522001463017,0.09473522001463017,0.0,0.0,1.5695971849408097,0.0,0.0,0.35525707505486315,0.0,0.5999897267593244,0.0,0.0,0.0,0.0,0.0,1.5036425156530866,0.1368397622433547,2.0210180269787767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09473522001463017,0.0,0.0,0.6157789300950961,0.0,0.1473658978005358,0.0,0.18947044002926036,0.0,0.0,0.0,0.0,0.25262725337234715,0.0,0.0,0.0,0.0,0.0,0.09473522001463017,0.4578868967373792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1589275248456428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09473522001463017,0.0,0.0,0.0,0.18947044002926036,0.0,10.0,0.0,0.0,0.0,0.0,1.189124376225306,0.0,0.0,0.0,0.0,1.2115420085768445,0.0,0.7868286328992895,0.0,0.0,0.0,0.0,0.5210437100804659,1.0736658268324752,0.0,0.0,0.0,0.0,0.0,0.4198070533981652,0.0,0.0,0.0,0.0,0.0,0.0,0.6252524520965591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12841885379760978,0.0,0.0,0.09473522001463017,0.0,0.0,1.119871460836725,0.2210488467008037,0.0,0.5052545067446943,0.0,0.5087632185970878,0.09473522001463017,0.0,0.0,0.3736778122799301,0.0,0.0,0.0,0.09473522001463017
4,Functional programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30927249852738564,0.0,0.0,0.5831995686516415,0.0,0.0,2.4029982226850044,0.0,2.220389101548734,0.0,0.0,0.0,0.0,0.0,1.7063441924924525,0.0,0.0,0.15463624926369282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15463624926369282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4639087477910784,0.0,0.0,0.0,0.15463624926369282,0.0,0.0,0.15463624926369282,0.0,0.15463624926369282,0.0,0.0,0.0,0.0,0.0,0.15463624926369282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9163629585996612,0.31571567558003955,0.0,0.0,0.15463624926369282,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.627362432727434,0.0,0.0,0.0,0.0,0.15463624926369282,0.0,0.0,0.0,0.0,0.0,0.0,0.44099967382608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15463624926369282,0.15463624926369282,0.0,0.0,1.8609217005408505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15463624926369282
5,Game Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619209552183404,0.0,0.0,0.0,0.0,2.212919721317319,0.0,2.3329835588601697,0.0,0.0,0.0,0.0,0.0,1.0120059701146276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238419104366809,0.3238419104366809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.281598025758366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619209552183404,0.0,0.0,0.0,0.1619209552183404,0.0,10.0,0.0,0.0,0.0,0.0,0.9175520795705956,0.0,0.0,0.0,0.0,0.1619209552183404,0.1619209552183404,1.0974642520354183,0.0,0.0,0.0,0.0,1.0120059701146276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619209552183404,0.0,0.0,0.3174920690555694,0.0,0.0,0.0,0.0,0.1619209552183404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619209552183404
6,Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13145663695794546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7303146497663636,0.0,0.0,0.0,0.0,0.0,2.3224005862570367,0.0,2.804408255102837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13145663695794546,0.0,0.0,0.0,0.0,1.1100782676448728,0.0,0.0,0.0,1.509316942850485,0.0,0.0,0.0,0.0,0.4674013758504728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13145663695794546,0.0,0.0,0.0,0.0,0.4527950828551455,1.4372592307402041,0.0,0.0,0.0,0.0,0.0,0.0,0.21471250703131087,0.3943699108738364,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.9075818651897425,0.0,0.0,0.0,0.0,1.0845172549030502,0.0,0.5404328408271092,0.0,0.0,0.0,0.0,0.13145663695794546,1.489841885523382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13145663695794546,0.0,0.13145663695794546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13145663695794546,0.0,0.0,0.17819677454299274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7011020637757093,0.0,0.0,0.7059708281074848,0.0,0.0,0.0,0.13145663695794546,0.13145663695794546,0.0,0.0,0.0
7,Mobile development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08067473376118915,0.0,0.0,0.0,0.2420242012835675,0.0,0.0,1.1260848254165987,0.0,0.0,0.1613494675223783,0.0,1.0537913001072663,0.0,0.0,0.0,0.16134946752237833,0.0,0.9578523944979284,0.0,0.3361447240049548,0.0,0.0,0.0,0.0,0.08067473376118915,0.0,0.0,0.0,0.08067473376118915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2420242012835675,0.0,0.0,0.0,0.08067473376118915,0.0,0.0,0.0,0.08067473376118915,0.6364340107827144,0.0,0.15597115193829902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08067473376118915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4907712970472341,0.0,0.0,0.0,0.0,0.08067473376118915,0.2509880605903663,0.7977834783050931,0.0,0.0,0.0,0.3520352018670073,0.08067473376118915,9.999999999999998,0.0,0.0,0.0,0.0,1.3181355110647628,0.0,0.0,0.2375422716301681,0.0,0.0,0.08067473376118915,0.5467954177147265,0.4728435784336365,0.0,0.08067473376118915,0.0,0.7832172069315448,0.0,0.0,0.0,0.08067473376118915,0.08067473376118915,0.0,0.2420242012835675,0.0,0.0,0.0,0.08067473376118915,0.0,0.0,0.5324532428238484,0.08067473376118915,0.0,0.08067473376118915,0.2061687640563723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647231363283242,0.0,0.08067473376118915,0.0,0.8605304934526844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08067473376118915,0.0,0.0,0.08067473376118915
8,Project Management,0.0,0.07003237503983947,0.0,0.0,0.0,0.0,0.20797493193649294,0.9651734596399696,0.0,0.0,0.0,0.6127832815985954,0.0,0.0,0.4876328336107341,0.07003237503983947,0.0,1.2888783359240579,0.525242812798796,1.080514659137402,0.22176918762615835,0.0,0.0,0.0,0.0,1.0111001342557424,0.0,0.6723108003824589,0.0,0.0,0.34432584394587745,0.5402497503073329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2801295001593579,0.0,0.31806370330593764,0.0,0.0,0.0,1.1686210461193416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4163035627368237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11672062506639913,0.0,0.0,0.0,0.0,0.0,0.0,0.5461110457652129,0.0,0.0,0.0,0.0,0.0,0.0,0.4450946502532021,0.0,0.0,0.0,0.0,0.07003237503983947,0.0,10.0,0.07003237503983947,0.0,0.3939321095990971,0.0,1.389679467457217,0.0,0.0,0.6419634378651953,0.07003237503983947,0.6326257878598833,0.0,0.8020374379562568,0.07003237503983947,0.7470120004249545,0.0,0.0,0.3008798335044956,0.6302913753585554,0.275460675156702,0.0,0.0,0.0,0.3793420314657972,0.07003237503983947,0.0,0.0,0.0,0.0,0.0,0.0,0.35483070020185337,0.0,0.30930965642595776,1.124109404485628,0.0,0.0,0.0,0.0,0.0,0.28225169334238337,0.0,0.0,0.0,0.0,0.8670675004932508,0.5057893752877296,0.0,0.0,0.0,0.0,0.0,0.07003237503983947,0.2373319376350116,0.0,0.14006475007967895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Security & DIY,0.0,0.0,0.0,0.0,0.41143180875205737,0.21380148791915307,0.0,0.1077559499112531,0.0,0.0,0.0,2.2030105315189528,0.0,0.0,0.7351350360612158,0.0,0.0,0.9877628741864868,0.0,0.1077559499112531,0.0,0.2873491997633417,0.5028610995858479,0.0,0.0,1.4626415942121898,1.1194645907446852,0.0,0.0,0.0,0.0,0.409895182015355,0.0,0.0,0.0,0.0,0.4896382998714632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2155118998225062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1077559499112531,0.0,0.2671449591549817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7679749446055976,0.0,0.33923169416505616,0.0,0.1077559499112531,0.0,0.0,0.0,0.1077559499112531,0.0,0.0,0.0,0.0,0.0,0.0,0.1077559499112531,0.0,0.17600138485504674,0.5453648353841754,0.1077559499112531,0.0,0.0,0.8692313292841084,0.1077559499112531,10.0,0.0,0.0,0.0,0.0,0.5405756820547865,0.0,0.0,0.1077559499112531,0.0,0.0,0.0,0.44299668296848493,0.1077559499112531,0.0,0.1077559499112531,0.0,1.5534816112205658,0.0,0.0,0.2379610560540173,0.0,0.0,0.0,0.1077559499112531,0.1077559499112531,0.0,0.0,0.0,0.0,0.0,0.2845320507460539,0.0,0.0,0.3472136163807044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379610560540173,0.0,0.0,0.0,0.0,0.0,0.0
