,Topics,Aberdeen,Ashford,Babraham,Bangor,Barnsley,Basildon,Basingstoke,Bath,Beaconsfield,Bedford,Beggarwood,Belfast,Bilston,Bingham,Birmingham,Bournemouth,Bradford,Brighton,Brighton Marina Village,Bristol,Brunswick Business Park,Burton-on-Trent,Buxton,Caister-on-Sea,Cambourne Business Park,Cambridge,Canterbury,Cardiff,Chafford Hundred,Chalfont St Peter,Chelmsford,Cheltenham,Chester,Chesterfield,Chippenham,Colchester,Coventry,Croydon,Cwm,Dartford,Denham,Derby,Dorking,Dundee,Durham,Edgbaston,Edinburgh,Egham,Enfield,Epsom,Exeter,Farnborough,Folkestone,Forest Row,Frome,Glasgow,Gloucester,Godalming,Greater London,Greater Manchester,Grimsby,Guildford,Harrogate,Hastings,Haywards Heath,Headington,Henley-on-Thames,Hereford,Hersden,Hertford,High Wycombe,Hitchin,Horsham,Hove,Huddersfield,Hull,Ilford,Inverness,Ipswich,Isleworth,Kennington,Keswick,Kettering,Lancaster,Leamington Spa,Leeds,Leicester,Leigh,Leigh-on-Sea,Lincoln,Liverpool,Llansadwrn,London,Long Eaton,Lower Bullingham,Luton,Maidstone,Manchester,Marlow,Middlesbrough,Milton Keynes,Newbury,Newcastle Upon Tyne,Northampton,Norwich,Nottingham,Nursling,Oldham,Oswestry,Oxford,Peterborough,Plymouth,Poole,Poplar,Preston,Pride Park,Reading,Reigate,Richmond,Roch,Salford,Sevenoaks,Shaftesbury,Sheffield,Shrewsbury,Slough,Southampton,Southend-on-Sea,Southsea,St Albans,St Helier,St Peter Port,Stafford,Stevenage,Stroud,Surbiton,Sutton Coldfield,Swansea,Swindon,Taunton,Temple Meads,Truro,Tunbridge Wells,Twickenham,Warrington,Warwick,Waterbeach,Watford,Wembley,West Jesmond,Winchester,Woking,Woodford Green,Worcester,York
0,Data Science,0.0,0.0,0.054024586699661266,0.0,0.0,0.0,0.0,0.2761256653538243,0.0,0.0,0.0,1.2785818852253168,0.0,0.054024586699661266,0.3781721068976289,0.0,0.0,0.7863578730728475,0.0,0.980732047441999,0.0,0.0,0.0,0.0,0.0,0.6004637484678401,0.0,0.39197839016532016,0.0,0.0,0.054024586699661266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054024586699661266,0.0,0.054024586699661266,1.1062177276597307,0.0,0.0,0.1260573689658763,0.4922240121524695,0.0,0.0,0.0,0.0,0.10804917339932256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14406556453243008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3241475201979677,0.0,0.0,0.0,0.1800819556655376,0.0,0.0,0.0,0.054024586699661266,0.0,10.0,0.0,0.0,0.0,0.0,1.2845846170808348,0.0,0.0,0.522237671430059,0.522237671430059,0.33015025205348564,0.0,0.0,1.0084589517270104,0.0,0.0,0.0,1.2785818852253168,0.0,0.0,0.0,0.0,0.0,0.0,0.4141884980307364,0.054024586699661266,0.0,0.0,0.0,0.0,0.0,0.28813112906486016,0.0,0.0,0.0,0.0,0.0,0.054024586699661266,0.054024586699661266,0.0,0.0,0.0,0.0,0.0,0.0,0.054024586699661266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054024586699661266,0.6843114315290428,0.0
1,Data cloud,0.0,0.0,0.0,0.0,0.0,0.0,0.3147934971248769,0.0,0.0,0.0,0.0,2.355628633074562,0.0,0.0,0.7527670583420968,0.0,0.0,0.08212004272822873,0.0,0.8814217919496552,0.08212004272822873,0.0,0.0,0.0,0.0,0.8394493256663381,0.0,0.3102312725288641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08212004272822873,0.0,0.1642400854564575,0.0,0.0,0.08212004272822873,0.0,0.0,0.0,0.1642400854564575,0.0,1.4416629723400156,0.0,0.08212004272822873,0.1916134330325337,0.0,0.0,0.0,0.0,0.0,0.9854405127387448,0.0,0.0,0.0,0.0,0.0,0.0,0.08212004272822873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9854405127387448,0.0,0.0,0.0,0.6022136466736775,0.08212004272822873,0.0,0.0,0.0,0.0,0.9854405127387448,0.08212004272822873,0.0,0.0,0.0,0.0,0.0,9.999999999999998,0.0,0.0,0.0,0.0,1.6825484310094865,0.0,1.2865473360755837,1.75189424486888,0.0,1.0401872078908974,0.08212004272822873,0.0,0.8485737748583636,0.0,0.0,0.0,0.2463601281846862,0.0,0.0,0.0,0.0,0.0,0.0,1.308446014136445,0.0,0.0,0.0,1.2591739884995072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20530010682057184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08212004272822873,0.0,0.0,0.0,0.4653469087932962,0.0,0.0,0.0
2,Data management,0.0,0.0,0.15860696989517706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15860696989517706,0.6168048829256885,0.0,0.0,0.7930348494758853,0.0,0.8106578461309051,0.0,0.0,0.0,0.0,0.0,2.7080671526546896,0.0,0.15860696989517706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31721393979035417,0.2643449498252951,0.0,0.0,0.0,0.6344278795807082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15860696989517706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15860696989517706,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.013322307663631,0.0,0.0,0.4229519197204722,0.0,0.15860696989517706,0.15860696989517706,0.0,1.2159867691963573,0.0,0.0,0.0,0.7401658595108264,0.0,0.0,0.0,0.0,0.0,0.0,7.4016585951082625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5815588896156493,0.2114759598602361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15860696989517706,0.0,0.0,0.0,0.0,0.15860696989517706,0.0,0.0,0.15860696989517706,0.0,0.0
3,Digital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10135574132628752,0.0,0.10135574132628752,0.33785247108762506,0.0,0.0,2.0013736858714553,0.0,0.0,0.6588123186208689,0.0,2.418460605535582,0.0,0.0,0.0,0.0,0.0,0.30782114032428065,0.13514098843505004,0.10135574132628752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10135574132628752,0.0,0.0,0.3040672239788625,0.0,0.10135574132628752,0.0,2.3649672976133758,0.0,0.0,0.0,0.0,1.7192936862014698,0.0,0.0,0.0,0.0,0.0,0.3885303417507689,0.10135574132628752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749457022814322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2838393901329752,0.0,0.0,0.0,0.20271148265257505,0.0,10.0,0.0,0.0,0.0,0.0,1.292285701910166,0.0,0.0,0.0,0.0,2.3514531987698706,0.0,0.7207519383202667,0.0,0.0,0.0,0.0,2.042130491907423,1.1655910252523063,0.0,0.0,0.0,0.0,0.0,0.8446311777190627,0.0,0.0,0.0,0.0,0.0,0.0,0.10135574132628752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10135574132628752,0.0,0.0,0.3125135357560532,0.0,0.0,0.92721733731826,0.10135574132628752,0.0,0.10135574132628752,0.0,0.6757049421752501,0.2702819768701001,0.0,0.0,0.20271148265257505,0.0,0.0,0.0,0.4054229653051501
4,Functional programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6134191827542881,0.0,0.0,1.0458797065960608,0.0,0.0,2.8728465058992487,0.0,2.9100606029863436,0.0,0.0,0.0,0.0,0.0,1.770229368377005,0.0,0.0,0.7821094580117173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460064387065716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7495215639278957,0.0,0.0,0.0,0.3527160300837156,0.0,0.0,0.3680515096525728,0.0,0.27603863223942965,0.0,0.0,0.0,0.0,0.0,0.1380193161197148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916943454527656,0.30517604342025834,0.0,0.0,0.5980837031854308,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.2077862574755898,0.0,0.0,0.0,0.0,1.15016096766429,0.0,0.0,0.0,0.0,0.0,0.0,0.4907353462034304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27603863223942965,0.1380193161197148,0.0,0.0,1.8913758134923881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1380193161197148
5,Game Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2448429455022547,0.0,0.0,0.0,0.0,0.16322863033483645,0.0,2.124563124993109,0.0,0.0,0.0,0.0,0.0,0.5713002061719277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6529145213393458,0.16322863033483645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05351098664844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9113598527028368,0.0,0.0,0.0,1.2242147275112734,0.0,10.0,0.0,0.0,0.0,0.0,1.8201287747654384,0.0,0.0,0.0,0.0,0.8161431516741824,0.3808668041146184,0.8161431516741824,0.0,0.0,0.0,0.0,1.1788734413071524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557248541912438,0.0,0.0,0.16322863033483645,0.0,0.0,0.0,0.0,0.21763817377978195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7798701227108853
6,Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150388815804837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4537585527800911,0.0,0.0,0.0,0.0,0.0,0.5012960526827901,0.0,0.150388815804837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150388815804837,0.0,0.0,0.0,0.0,0.300777631609674,0.0,0.0,0.0,5.4474171058196506,0.0,0.0,0.0,0.0,2.2502622809316355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35090723687795305,0.0,0.0,0.0,0.0,0.5514256579510691,4.010368421462322,0.0,0.0,0.0,0.0,0.0,0.0,0.2945114309511392,1.3534993422435333,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.7912978949198366,0.0,0.0,0.0,0.0,2.0720236844221986,0.0,0.3258424342438136,0.0,0.0,0.0,0.0,3.3085539477064145,1.729471381755626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35090723687795305,0.0,0.4845861842600305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5064802634139505,0.0,0.0,0.150388815804837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37597203951209257,0.0,0.0,1.0025921053655802,0.0,0.0,0.0,0.150388815804837,0.3258424342438136,0.0,0.0,0.0
7,Mobile development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4537201756784915,0.0,0.0,0.0,1.3336623345701113,0.0,0.0,0.7287021003321229,0.0,0.0,1.0815955703042828,0.0,1.6150605041323274,0.0,0.0,0.0,0.08249457739608937,0.0,0.24748373218826805,0.0,0.08249457739608937,0.0,0.0,0.0,0.0,0.08249457739608937,0.0,0.0,0.0,0.1374909623268156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7149530040994412,0.0,0.0,0.0,0.08249457739608937,0.0,0.0,0.0,0.08249457739608937,0.16498915479217874,0.0,0.08249457739608937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.217288518447485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049602342379887,0.0,0.0,0.0,0.0,0.08249457739608937,1.182422276010614,0.34372740581703903,0.0,0.0,0.0,0.6255838785870109,0.08249457739608937,10.0,0.0,0.0,0.0,0.0,1.3572421338089886,0.0,0.0,0.1649891547921787,0.0,0.0,0.19248734725754185,0.4124728869804469,1.5887844535543136,0.0,0.11365919552350087,0.0,0.6572067999221786,0.0,0.0,0.0,0.37122559828240215,0.2474837321882681,0.0,0.9143148994733238,0.0,0.0,0.0,1.292415045872067,0.0,0.0,0.08249457739608937,0.16498915479217874,0.0,0.12236695647086587,0.3024801171189944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5087165606092178,0.0,0.2062364434902234,0.0,0.08249457739608937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4674692719111731,0.0,0.0,0.3941407586702047
8,Project Management,0.0,0.4334475169143221,0.0,0.0,0.0,0.0,0.262349812869195,0.8902150171947948,0.0,0.0,0.0,0.6957973297835172,0.0,0.0,0.8567559106259701,0.6159517345624578,0.0,1.3486844417271453,0.06843908161805086,1.9892959723646788,0.06843908161805086,0.0,0.0,0.0,0.0,1.057172579265497,0.0,1.003773197064746,0.0,0.0,0.06843908161805086,0.7680385826025707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509432992661865,0.0,0.5246996257383899,0.0,0.0,0.0,0.7376212129945483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479073571326356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06843908161805086,0.0,0.0,0.0,0.0,0.0,0.0,0.6691821313764973,0.0,0.0,0.0,0.0,0.0,0.0,1.5588901924111582,0.0,0.0,0.0,0.0,0.2965693536782204,0.0,10.0,0.501886598532373,0.0,0.4334475169143221,0.0,2.20948393124942,0.0,0.0,2.498026479058856,0.6615777889744916,1.3839903171650283,0.0,0.8364776642206215,1.7337900676572884,0.8744993762306501,0.0,0.0,0.6615777889744918,0.6159517345624578,0.33078889448724585,0.0,0.0,0.0,0.5703256801504238,0.5703256801504238,0.0,0.0,0.0,0.0,0.0,0.0,1.1254426754968363,0.0,0.06843908161805086,1.133047017898842,0.0,0.0,0.0,0.0,0.0,0.20531724485415265,0.0,0.0,0.0,0.0,0.6729843025775002,0.4448540305173306,0.0,0.0,0.0,0.0,0.0,1.9048877717024164,0.4448540305173306,0.0,0.06843908161805086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Security & DIY,0.0,0.0,0.0,0.0,0.40590418262538863,0.10681689016457596,0.0,1.4954364623040637,0.0,0.0,0.0,4.7948915140542985,0.0,0.0,0.3590234363864914,0.0,0.0,1.3797181646257728,0.0,1.2283942368926235,0.0,0.10681689016457596,0.2017652369775324,0.0,0.0,1.9304834043188912,0.10681689016457596,0.0,0.0,0.0,0.0,0.2752589092702535,0.0,0.0,0.0,0.0,0.4834984032449404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.655511352298822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24923941038401054,0.0,0.2581408178977253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833238612068905,0.0,0.32045067049372805,0.0,0.10681689016457596,0.0,0.0,0.0,0.31154926298001323,0.0,0.0,0.0,0.0,0.0,0.0,0.1958309653017226,0.0,0.20918307657229465,0.7318143830608617,0.2513338592107669,0.0,0.0,1.1749857918103357,0.10681689016457596,10.0,0.0,0.0,0.0,0.0,0.9634174462982188,0.0,0.0,0.10681689016457596,0.0,0.0,0.0,0.2314365953565813,0.4272675606583039,0.0,0.14716993756008245,0.0,0.10681689016457596,0.0,0.0,0.4391361040099234,0.0,0.0,0.0,0.4628731907131625,0.10681689016457596,0.0,0.0,0.0,0.0,0.0,0.2611079537356301,0.0,0.0,0.2955267294553268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142583870059264,0.0,0.0,0.0,0.0,0.0,0.0
